PET,AUTO,BABY,DELI,GIFT,MISC,TOYS,DAIRY,BAKERY,FLORAL,ALCOHOL,HOLIDAY,OUTDOOR,PRODUCE,SEAFOOD,ACTIVITY,CLOTHING,COSMETICS,DRY_GOODS,HOUSEHOLD,MEDICATION,ELECTRONICS,FROZEN_FOOD,MEAT_BEEF,MEAT_PORK,CANNED_GOODS,MEAT_OTHER,BULK_PRODUCTS,MEAT_TURKEY,PERSONAL_CARE,GROCERY_STAPLE,MEAT_CHICKEN,MEAT_POULTRY,MEAT_SAUSAGE,SPECIALTY_FOOD,BEVERAGE_WATER,MEDICAL_SUPPLIES,TOBACCO_PRODUCTS,SEASONAL_PRODUCTS,INTERNATIONAL_FOOD,BEVERAGE_NON_WATER,IN_STORE_FOOD_SERVICE,Total
0,1,3,47,16,18,6,391,310,3,0,3,4,456,6,0,9,15,56,194,11,1,158,40,8,48,35,18,3,147,1120,44,3,7,1,29,0,0,3,42,220,59,12387.52
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.79
344,0,8,34,42,7,1,127,181,1,5,5,2,321,3,0,1,10,60,270,26,2,129,39,19,92,15,3,4,79,686,22,2,13,2,0,2,0,0,5,28,91,8985.39
0,0,0,0,1,0,0,21,32,0,9,0,0,19,0,0,0,0,0,0,23,0,6,0,0,0,1,0,0,6,37,0,0,0,0,0,0,26,0,8,48,22,871.66
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.07
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,7.82
0,0,0,0,2,0,0,8,0,2,9,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,194.19
0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,1,27.8
0,1,0,1,0,0,0,4,1,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,73.6
0,0,3,7,2,5,0,162,69,0,1,1,0,199,7,0,5,0,6,40,34,0,66,18,4,41,19,0,1,66,395,29,0,8,0,10,0,0,0,7,35,48,5752.68
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,12.32
0,0,2,1,0,0,0,2,3,0,1,0,0,5,0,0,0,0,2,5,0,0,0,1,0,0,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,81.32
509,1,56,52,73,96,29,286,247,41,26,63,43,233,61,3,77,41,161,475,90,5,240,108,50,179,71,38,5,171,1032,58,2,67,2,350,8,0,18,37,251,113,20535.68
0,0,0,3,0,0,0,9,2,0,1,0,0,6,0,0,0,0,1,2,3,0,1,0,1,2,0,0,0,1,16,1,0,1,0,0,0,0,0,3,3,0,177.03
0,0,0,2,0,0,0,4,4,0,2,0,0,2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,107.99
0,2,0,73,3,0,0,262,204,3,51,0,0,363,49,0,0,0,86,60,7,0,92,67,27,77,78,4,15,14,698,75,0,87,5,33,0,5,0,53,294,23,12632.83
0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,242.51
0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,29.29
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16.73
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18.26
0,0,0,1,0,0,2,1,1,0,0,13,0,3,0,0,13,0,1,4,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,167.66
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.98
0,0,0,1,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,32.81
1,2,0,12,0,0,0,27,12,1,2,0,0,35,0,0,0,2,27,30,0,0,15,0,2,3,1,2,0,24,125,7,0,4,0,0,0,0,0,3,1,6,1371.5
0,0,1,0,0,0,0,1,0,0,0,0,0,7,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,4,1,0,3,0,0,0,0,0,0,0,0,170.64
1,1,1,58,0,3,0,163,146,0,17,0,1,164,31,0,0,0,22,36,29,0,271,49,42,53,58,0,3,5,297,50,2,48,3,11,0,0,0,9,83,25,3836.2
17,0,0,10,79,2,1,78,48,7,18,1,2,105,0,0,1,2,18,84,7,0,31,21,0,26,13,8,1,37,269,8,1,5,0,27,0,0,1,16,46,11,4193.61
114,0,1,63,3,4,0,253,41,0,98,0,1,311,47,0,0,14,50,174,21,1,121,11,6,60,69,11,4,102,563,35,3,34,9,0,0,41,0,9,35,22,11660.53
13,0,4,84,22,0,3,103,63,11,10,4,5,129,22,0,0,3,34,48,19,0,80,44,22,29,34,14,1,29,637,8,0,22,4,11,0,1,0,16,78,121,7156.98
4,0,2,57,63,2,1,1390,209,49,79,4,15,997,162,1,9,21,84,253,35,1,352,30,40,76,41,17,7,263,1001,69,6,42,2,15,0,0,1,124,184,79,17150.61
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16.2
